cluster,lsat,ugpa,zfygpa,zgpa,bar1,fulltime,fam_inc,age,gender,race1,race2,race3,race4,race5,race6,race7,race8
3.0,38.0,3.0,0.48,0.65,0,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,44.0,2.6,0.26,-0.37,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
4.0,28.5,3.4,-2.87,-2.52,0,1.0,2.0,-66.0,1,0,0,1,0,0,0,0,0
1.0,41.0,3.0,-0.46,0.14,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,29.0,3.0,-0.57,-1.02,0,1.0,2.0,-51.0,0,0,0,0,1,0,0,0,0
3.0,37.0,3.9,-0.05,0.0,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,0,1
4.0,43.0,3.5,-0.66,-0.79,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
4.0,43.0,3.7,-0.26,-0.4,0,1.0,4.0,-67.0,0,0,0,0,0,0,0,1,0
4.0,33.0,2.6,-1.35,-1.3,0,2.0,4.0,-50.0,1,0,0,1,0,0,0,0,0
4.0,38.0,2.1,-1.81,-1.82,0,1.0,4.0,-54.0,1,0,0,0,0,0,0,1,0
3.0,37.0,2.7,-0.49,-0.78,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,33.0,3.6,0.25,0.5,0,1.0,2.0,-48.0,1,0,0,0,0,0,0,1,0
3.0,37.0,2.9,-0.14,0.1,1,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
3.0,28.0,3.2,-0.55,-1.37,0,1.0,3.0,-60.0,0,0,1,0,0,0,0,0,0
3.0,25.0,2.4,-1.29,-1.52,0,1.0,4.0,-66.0,1,0,0,1,0,0,0,0,0
5.0,41.0,2.9,-1.26,-1.07,0,1.0,4.0,-60.0,0,0,1,0,0,0,0,0,0
3.0,27.0,2.7,-1.9,-1.27,0,1.0,4.0,-60.0,1,0,0,1,0,0,0,0,0
4.0,36.0,3.3,-0.38,-0.41,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
4.0,42.0,3.5,1.0,0.03,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
4.0,47.0,3.6,0.6,0.83,1,1.0,5.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,36.0,2.5,0.07,-0.04,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
2.0,26.0,3.2,0.53,-0.76,1,1.0,4.0,-52.0,0,0,0,0,0,0,0,1,0
3.0,34.0,2.8,-1.79,-1.82,0,1.0,4.0,-55.0,0,0,0,0,0,0,0,1,0
6.0,30.0,2.1,0.18,-0.17,0,1.0,2.0,-57.0,0,0,0,0,1,0,0,0,0
3.0,37.0,2.8,-0.09,-0.52,1,2.0,3.0,-55.0,1,0,0,0,0,0,0,1,0
3.0,37.0,2.9,0.15,-0.2,0,1.0,3.0,-63.0,0,0,0,0,0,0,0,1,0
3.0,30.0,3.4,-0.98,-0.67,0,2.0,3.0,-48.0,0,0,0,0,0,0,0,1,0
3.0,37.0,3.4,-0.92,-0.16,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,38.0,3.9,2.41,2.25,1,2.0,4.0,-58.0,1,0,0,0,0,0,0,1,0
4.0,37.5,3.7,0.05,-0.06,0,1.0,4.0,-52.0,0,0,0,0,0,0,0,1,0
1.0,25.0,3.5,-0.26,-0.77,0,1.0,5.0,-60.0,1,0,0,0,0,0,0,1,0
1.0,31.5,3.4,-0.37,-0.42,0,1.0,3.0,-58.0,1,0,0,0,0,0,0,1,0
4.0,26.0,2.8,-0.38,-0.73,1,1.0,5.0,-58.0,0,0,0,0,0,0,0,1,0
1.0,33.0,3.5,-0.95,-1.09,0,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,38.0,3.7,-0.51,-0.92,1,1.0,2.0,-60.0,0,0,0,0,0,0,0,0,1
4.0,45.0,3.7,0.55,-0.23,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
3.0,34.0,2.8,0.26,0.32,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
3.0,28.0,2.9,-1.4,-1.73,0,1.0,4.0,-62.0,1,0,0,1,0,0,0,0,0
3.0,34.0,2.9,1.25,1.25,1,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,37.0,2.5,-1.44,-1.4,0,1.0,5.0,-60.0,0,0,0,0,0,0,0,1,0
4.0,37.0,3.9,-0.49,-0.54,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,42.0,3.8,0.92,0.49,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
6.0,30.0,2.8,0.05,0.06,0,1.0,2.0,-60.0,1,0,1,0,0,0,0,0,0
6.0,31.0,2.8,2.05,1.59,0,1.0,3.0,-59.0,1,0,0,0,0,0,0,1,0
2.0,35.0,3.5,1.0,1.55,1,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
2.0,33.0,3.7,-0.52,-0.33,1,1.0,2.0,-56.0,0,0,0,0,0,0,0,1,0
2.0,29.0,3.3,-1.42,-1.32,0,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,43.0,3.2,0.26,-0.03,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,26.0,3.5,-0.24,-0.36,0,1.0,1.0,-61.0,1,0,0,0,0,0,0,1,0
1.0,39.0,3.5,-1.11,-0.92,1,1.0,4.0,-42.0,1,0,0,0,0,0,0,1,0
2.0,26.0,2.3,-1.0,-1.58,0,1.0,3.0,-60.0,1,0,0,1,0,0,0,0,0
3.0,25.0,2.3,-1.26,-0.51,0,2.0,3.0,-59.0,1,0,0,1,0,0,0,0,0
1.0,40.0,2.9,-0.28,-0.45,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
2.0,32.0,2.7,-0.66,-0.97,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
3.0,37.0,2.7,-1.4,-1.65,0,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
4.0,40.0,3.9,-0.39,-0.03,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
5.0,47.0,4.0,1.71,1.07,1,1.0,3.0,-58.0,0,0,0,0,0,0,0,1,0
3.0,32.0,3.4,0.85,0.52,1,1.0,1.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,44.0,3.6,1.38,1.34,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
3.0,34.0,3.1,0.75,0.25,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
6.0,30.0,2.6,0.89,0.59,0,1.0,2.0,-60.0,1,0,0,1,0,0,0,0,0
3.0,36.0,3.4,-0.25,-0.42,0,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,35.0,3.3,-1.81,-1.87,0,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
2.0,26.0,3.3,-0.66,-1.35,0,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
4.0,27.0,2.9,-1.28,-1.88,1,1.0,3.0,-57.0,0,0,0,1,0,0,0,0,0
2.0,32.0,2.7,0.74,0.61,1,1.0,5.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,37.0,2.2,-1.29,-0.99,0,2.0,3.0,-33.0,0,0,0,0,0,0,0,1,0
3.0,35.0,3.3,-1.52,-1.42,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
2.0,27.5,2.4,-0.1,0.21,1,1.0,4.0,-52.0,0,0,0,0,0,0,0,1,0
2.0,35.0,3.4,-0.34,-1.26,0,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,39.0,3.5,-0.08,-0.3,1,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
3.0,37.0,3.3,-0.62,-1.18,0,1.0,5.0,-62.0,1,0,0,0,0,0,0,1,0
2.0,37.0,2.6,-0.48,-0.92,1,1.0,3.0,-58.0,0,0,0,0,0,0,0,1,0
3.0,39.0,3.6,0.2,0.45,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
4.0,36.0,3.8,1.85,2.34,1,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
2.0,26.5,3.3,-0.75,-1.44,0,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
3.0,39.0,2.7,-0.17,-0.06,1,1.0,4.0,-59.0,0,0,0,0,0,0,0,1,0
4.0,34.5,3.6,1.68,1.24,1,1.0,4.0,-59.0,0,0,0,0,0,0,0,1,0
1.0,40.0,4.0,1.65,1.74,1,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
2.0,25.0,2.5,-0.34,-1.7,0,1.0,5.0,-60.0,0,0,0,0,0,0,0,1,0
1.0,38.0,2.6,0.14,-0.79,0,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,25.0,2.9,-1.82,-1.72,0,1.0,4.0,-36.0,1,0,0,0,0,0,0,1,0
4.0,41.0,3.5,-1.1,-1.61,0,1.0,4.0,-62.0,1,0,1,0,0,0,0,0,0
3.0,37.0,3.8,0.92,0.97,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
3.0,39.0,3.2,-0.28,-1.29,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,25.0,2.6,0.04,-0.39,0,1.0,5.0,-57.0,1,0,0,1,0,0,0,0,0
3.0,35.3,3.1,-1.61,-1.74,1,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,40.0,3.5,1.49,1.57,1,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,41.0,3.5,-1.64,-1.44,1,1.0,5.0,-62.0,1,0,0,0,0,0,0,1,0
2.0,29.0,3.4,-0.97,-1.52,0,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
2.0,39.0,2.5,0.24,0.15,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
2.0,32.5,2.7,-0.17,-0.55,0,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
3.0,35.0,3.2,0.19,-0.46,0,2.0,4.0,-49.0,1,0,0,0,0,0,0,1,0
1.0,38.0,3.0,1.53,0.42,0,1.0,4.0,-53.0,0,0,0,0,0,0,0,1,0
1.0,26.0,3.1,-2.06,-2.06,0,1.0,4.0,-61.0,0,0,0,0,0,1,0,0,0
1.0,28.0,2.8,-1.15,-2.03,0,1.0,3.0,-66.0,0,0,0,1,0,0,0,0,0
1.0,37.0,3.1,-0.07,-0.6,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
2.0,31.0,3.0,-0.93,-1.49,0,1.0,3.0,-61.0,1,0,1,0,0,0,0,0,0
1.0,36.0,3.3,-0.81,-0.29,1,1.0,5.0,-57.0,1,0,0,0,0,0,0,1,0
4.0,40.0,3.9,0.44,0.37,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,39.0,3.6,0.38,-0.36,1,1.0,3.0,-52.0,0,0,0,0,0,0,0,1,0
3.0,34.0,3.0,-0.83,-1.06,0,1.0,3.0,-56.0,1,0,0,0,0,0,0,1,0
5.0,39.0,3.8,0.79,1.29,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,48.0,3.5,-0.19,-0.09,1,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
1.0,41.0,3.6,1.08,0.85,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,38.0,3.7,0.88,1.56,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,26.0,3.1,0.1,-0.66,0,1.0,4.0,-59.0,1,0,0,0,0,0,0,1,0
3.0,34.0,2.2,0.26,0.74,1,2.0,3.0,-56.0,1,0,0,0,0,0,0,1,0
3.0,34.0,2.3,-0.29,-0.67,0,1.0,3.0,-60.0,1,0,0,1,0,0,0,0,0
1.0,38.0,3.8,-1.57,-1.65,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,37.0,3.6,-0.66,-0.02,1,1.0,2.0,-60.0,1,0,1,0,0,0,0,0,0
3.0,38.0,3.5,0.38,-0.3,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
4.0,35.5,3.0,-1.14,-1.33,1,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
3.0,31.0,3.2,-0.2,-0.63,0,2.0,3.0,-58.0,0,0,0,0,0,0,0,1,0
4.0,27.0,3.6,-1.9,-2.35,0,1.0,2.0,-60.0,0,0,0,0,0,1,0,0,0
1.0,36.0,2.8,-0.97,-1.01,0,1.0,4.0,-60.0,0,0,0,1,0,0,0,0,0
1.0,28.5,2.7,1.44,0.69,1,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,30.0,3.1,1.86,1.14,1,1.0,2.0,-57.0,1,0,0,0,0,0,0,1,0
3.0,36.0,3.1,-0.76,-1.11,0,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
3.0,34.0,2.8,0.22,-0.05,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
6.0,27.0,3.2,-0.37,-0.42,0,1.0,2.0,-42.0,1,0,0,0,0,0,0,1,0
3.0,39.0,2.8,0.39,0.71,1,1.0,4.0,-58.0,0,0,0,0,0,0,0,1,0
4.0,42.0,2.8,-0.94,-0.62,0,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
2.0,39.0,2.8,-0.38,-0.48,0,1.0,3.0,-59.0,1,0,0,0,0,0,0,1,0
3.0,27.0,2.4,-1.11,-0.88,0,2.0,4.0,-42.0,0,0,0,0,0,0,0,1,0
1.0,35.0,2.9,-1.56,-1.77,1,1.0,1.0,-66.0,0,0,0,0,0,0,1,0,0
1.0,23.5,2.6,-1.79,-1.79,0,1.0,3.0,-59.0,1,0,0,1,0,0,0,0,0
1.0,35.0,3.4,-0.28,-0.55,0,1.0,1.0,-66.0,1,0,0,0,0,0,0,1,0
5.0,41.0,3.7,-0.81,-1.48,0,1.0,2.0,-56.0,1,0,0,0,0,0,0,1,0
1.0,30.5,3.2,-1.92,-1.36,0,1.0,4.0,-62.0,1,0,0,1,0,0,0,0,0
4.0,46.0,3.6,0.66,0.61,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
4.0,33.0,3.5,0.96,0.97,1,1.0,2.0,-58.0,0,0,0,0,0,0,0,1,0
3.0,30.5,3.1,0.87,0.81,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
4.0,34.0,3.5,0.35,0.76,1,1.0,2.0,-60.0,0,0,0,0,0,0,0,1,0
3.0,39.0,3.6,0.62,1.1,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
3.0,39.0,4.0,1.25,1.94,1,1.0,2.0,-62.0,1,0,0,0,0,0,0,1,0
3.0,31.0,3.0,-0.39,-1.04,1,1.0,3.0,-56.0,0,0,1,0,0,0,0,0,0
3.0,39.0,3.0,-1.64,-1.93,0,1.0,5.0,-60.0,0,0,0,0,0,0,0,1,0
3.0,28.3,2.8,-0.93,-0.92,0,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
3.0,40.0,3.1,-1.22,-1.13,0,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
2.0,42.0,3.5,0.51,0.93,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
3.0,23.0,2.7,-1.39,-1.73,0,1.0,3.0,-61.0,0,0,0,1,0,0,0,0,0
1.0,39.0,3.2,-0.51,0.0,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,41.0,3.3,0.22,-0.08,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,31.0,3.5,-1.54,-1.86,0,1.0,3.0,-52.0,1,0,0,0,0,0,0,1,0
6.0,15.0,2.1,-0.61,-0.49,0,1.0,3.0,-57.0,1,0,0,1,0,0,0,0,0
