age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
66,2,54826,8,11,6,10,1,4,0,0,0,20,39,0
27,4,124953,11,9,4,8,1,4,1,0,1980,40,39,0
28,7,175325,11,9,2,11,0,4,1,0,0,40,39,0
51,4,96062,15,10,2,12,0,4,1,0,1977,40,39,1
27,4,428030,9,13,4,3,1,4,1,0,0,50,39,0
28,7,149624,9,13,2,10,0,4,1,0,0,40,39,1
27,4,253814,11,9,3,12,4,4,0,0,0,25,39,0
21,4,312956,11,9,4,3,3,2,1,0,0,40,39,0
34,4,483777,11,9,4,6,1,2,1,0,0,40,39,0
18,4,183930,11,9,4,8,3,4,1,0,0,12,39,0
33,4,37274,9,13,2,10,0,4,1,0,0,65,39,0
44,2,181344,15,10,2,4,0,2,1,0,0,38,39,1
43,4,114580,15,10,0,1,1,4,0,0,0,40,39,0
30,4,633742,15,10,4,3,1,2,1,0,0,45,39,0
40,4,286370,5,4,2,7,0,4,1,0,0,40,26,1
37,1,29054,15,10,2,1,0,4,1,0,0,42,39,1
34,4,304030,11,9,2,1,0,2,1,0,0,40,39,0
41,6,143129,9,13,0,4,1,4,0,0,0,40,39,0
53,0,135105,9,13,0,0,1,4,0,0,0,50,39,0
31,4,99928,12,14,2,10,5,4,0,0,0,50,39,0
58,7,109567,10,16,2,10,0,4,1,0,0,1,39,1
38,4,155222,15,10,0,7,1,2,0,0,0,28,39,0
24,4,159567,15,10,2,7,0,4,1,0,0,40,39,0
41,2,523910,9,13,2,3,0,2,1,0,0,40,39,0
47,4,120939,15,10,2,13,0,4,1,0,0,45,39,0
41,1,130760,9,13,2,13,0,4,1,0,0,24,39,0
23,4,197387,4,3,2,14,2,4,1,0,0,40,26,0
36,4,99374,15,10,0,3,1,4,1,0,0,40,39,0
40,1,56795,12,14,4,4,1,4,0,14084,0,55,39,1
35,4,138992,12,14,2,10,2,4,1,7298,0,40,39,1
24,6,32921,11,9,4,12,1,4,1,0,0,40,39,0
26,4,397317,12,14,4,10,1,4,0,0,1876,40,39,0
19,0,170653,11,9,4,0,3,4,1,0,0,40,22,0
51,4,259323,9,13,2,4,0,4,1,0,0,50,39,1
42,2,254817,15,10,4,10,1,4,0,0,1340,40,39,0
37,7,48211,11,9,0,1,4,4,0,0,0,35,39,0
18,4,140164,1,7,4,12,3,4,0,0,0,40,39,0
36,4,128757,9,13,2,8,0,2,1,7298,0,36,39,1
35,4,36270,11,9,0,3,1,4,1,0,0,60,39,0
58,5,210563,11,9,2,12,5,4,0,15024,0,35,39,1
17,4,65368,1,7,4,12,3,4,0,0,0,12,39,0
44,2,160943,11,9,2,14,0,2,1,0,0,40,39,0
37,4,208358,11,9,2,3,0,4,1,0,0,40,39,1
35,4,153790,15,10,4,12,1,0,0,0,0,40,39,0
60,4,85815,11,9,2,3,0,1,1,0,0,40,39,0
54,5,125417,5,4,2,7,0,4,1,0,0,40,39,1
37,4,635913,9,13,4,4,1,2,1,0,0,60,39,1
50,4,313321,7,12,0,12,1,4,0,0,0,40,39,0
38,4,182609,9,13,2,12,0,4,1,0,0,50,31,0
45,4,109434,9,13,2,10,0,4,1,0,0,55,39,0
25,4,255004,0,6,4,3,1,4,1,0,0,40,39,0
31,4,197860,15,10,2,6,0,4,1,0,0,40,39,0
64,0,187656,3,2,0,0,1,4,1,0,0,40,39,0
90,4,51744,11,9,4,8,1,2,1,0,2206,40,39,0
54,4,176681,11,9,2,1,0,2,1,0,0,20,39,0
53,2,140359,13,1,4,7,1,4,0,0,0,35,39,0
18,4,243313,11,9,4,12,3,4,0,0,0,40,39,0
60,0,24215,0,6,0,0,1,0,0,0,0,10,39,0
66,6,167687,11,9,2,5,0,4,1,1409,0,50,39,0
75,4,314209,8,11,6,1,1,4,0,0,0,20,4,0
65,4,176796,11,9,0,1,1,4,0,0,0,40,39,0
35,4,538583,1,7,5,14,1,2,1,3674,0,40,39,0
41,4,130408,11,9,0,12,4,2,0,0,0,38,39,0
25,4,159732,15,10,4,1,1,4,1,0,0,42,39,0
33,4,110978,15,10,0,3,2,3,0,0,0,40,39,0
28,4,76714,14,15,4,10,1,4,1,0,0,55,39,1
59,7,268700,11,9,2,8,0,4,1,0,0,40,39,0
40,7,170525,15,10,4,1,1,4,0,0,0,38,39,0
41,4,180138,9,13,2,4,0,4,1,0,0,50,20,1
38,2,115076,12,14,2,4,0,4,1,0,0,70,39,1
23,4,115458,11,9,4,14,3,4,1,0,0,40,39,0
40,4,347890,9,13,2,10,0,4,1,0,0,40,39,1
41,6,196001,11,9,2,8,5,4,0,0,0,20,39,0
24,7,273905,7,12,2,11,0,4,1,0,0,50,39,0
20,0,119156,15,10,4,0,3,4,1,0,0,20,39,0
38,4,179488,15,10,0,3,1,4,1,0,1741,40,39,0
56,4,203580,11,9,2,1,0,4,1,0,0,35,0,0
58,4,236596,11,9,2,1,0,4,1,0,0,45,39,1
32,4,183916,11,9,4,8,1,4,0,0,0,34,39,0
40,4,207578,7,12,2,13,0,4,1,0,1977,60,39,1
45,4,153141,11,9,2,1,0,4,1,0,0,40,0,0
41,4,112763,14,15,2,10,5,4,0,0,0,40,39,1
42,4,390781,9,13,2,1,5,2,0,0,0,40,39,0
59,2,171328,0,6,6,8,4,2,0,0,0,30,39,0
19,2,27382,15,10,4,1,3,4,1,0,0,40,39,0
58,4,259014,15,10,4,14,1,4,1,0,0,20,39,0
42,6,303044,11,9,2,5,0,1,1,0,0,40,1,1
20,4,117789,11,9,4,8,3,4,0,0,0,40,39,0
32,4,172579,11,9,5,8,1,4,0,0,0,30,39,0
45,4,187666,8,11,6,4,1,4,0,0,0,45,39,0
50,4,204518,5,4,0,3,1,4,1,0,0,40,39,0
36,4,150042,9,13,0,10,3,4,0,0,0,40,39,0
45,4,98092,11,9,2,12,0,4,1,0,0,60,39,0
17,4,245918,1,7,4,8,3,4,1,0,0,12,39,0
59,4,146013,15,10,2,12,0,4,1,4064,0,40,39,0
26,4,378322,1,7,2,3,0,4,1,0,0,40,39,0
37,5,257295,15,10,2,4,0,1,1,0,0,75,37,1
19,0,218956,15,10,4,0,3,4,1,0,0,24,2,0
64,4,21174,11,9,2,4,0,4,1,0,0,40,39,1
33,4,185480,9,13,4,10,1,4,0,0,0,45,39,0
33,4,222205,11,9,2,3,5,4,0,0,0,40,39,1
61,4,69867,11,9,2,4,0,4,1,0,0,40,39,1
17,4,191260,6,5,4,8,3,4,1,1055,0,24,39,0
50,6,30653,12,14,2,5,0,4,1,2407,0,98,39,0
27,2,209109,12,14,4,10,3,4,1,0,0,35,39,0
30,4,70377,11,9,0,10,3,4,0,0,0,40,39,0
43,4,477983,11,9,2,6,0,2,1,0,0,40,39,0
44,4,170924,15,10,2,3,0,4,1,7298,0,40,39,1
35,4,190174,15,10,4,4,1,4,0,0,0,40,39,0
25,4,193787,15,10,4,13,3,4,0,0,0,40,39,0
24,4,279472,15,10,2,7,5,4,0,7298,0,48,39,1
22,4,34918,9,13,4,10,1,4,0,0,0,15,11,0
42,2,97688,15,10,2,3,0,4,1,5178,0,40,39,1
34,4,175413,7,12,0,12,4,2,0,0,0,45,39,0
60,4,173960,9,13,0,10,1,4,0,0,0,42,39,0
21,4,205759,11,9,4,6,3,4,1,0,0,40,39,0
57,1,425161,12,14,2,12,0,4,1,15024,0,40,39,1
41,4,220531,14,15,2,10,0,4,1,0,0,60,39,1
50,4,176609,15,10,0,8,1,4,1,0,0,45,39,0
25,4,371987,9,13,4,4,1,4,0,0,0,40,39,0
50,4,193884,5,4,2,3,0,4,1,0,0,40,7,0
36,4,200352,9,13,2,10,0,4,1,0,0,45,39,0
31,4,127595,11,9,0,10,1,4,0,0,0,40,39,0
29,2,220419,9,13,4,11,1,4,1,0,0,56,39,0
21,4,231931,15,10,4,12,3,4,1,0,0,45,39,0
27,4,248402,9,13,4,13,4,2,0,0,0,40,39,0
65,4,111095,11,9,2,14,0,4,1,0,0,16,39,0
37,5,57424,9,13,0,12,1,4,0,0,0,60,39,0
39,0,157443,12,14,2,0,5,1,0,3464,0,40,0,0
24,4,278130,11,9,4,3,3,4,1,0,0,40,39,0
38,4,169469,11,9,0,12,1,4,1,0,0,80,39,0
48,4,146268,9,13,2,1,0,4,1,7688,0,40,39,1
21,4,153718,15,10,4,8,1,1,0,0,0,25,39,0
31,4,217460,11,9,2,14,0,4,1,0,0,45,39,1
55,4,238638,11,9,2,12,0,4,1,4386,0,40,39,1
24,4,303296,15,10,2,1,5,1,0,0,0,40,25,0
43,4,173321,11,9,0,1,1,4,0,0,0,40,39,0
26,4,193945,7,12,4,13,1,4,1,0,0,45,39,0
46,4,83082,7,12,4,10,1,4,0,0,0,33,39,0
35,4,193815,7,12,2,1,0,4,1,0,0,40,39,1
41,5,34987,15,10,2,5,0,4,1,0,0,54,39,1
26,4,59306,9,13,4,12,1,4,1,0,0,40,39,0
34,4,142897,12,14,2,4,0,1,1,7298,0,35,36,1
19,0,860348,15,10,4,0,3,2,0,0,0,25,39,0
36,6,205607,9,13,0,10,1,2,0,0,0,40,39,1
22,4,199698,15,10,4,12,3,4,1,0,0,15,39,0
24,4,191954,15,10,4,7,1,4,1,0,0,40,39,0
77,6,138714,15,10,2,12,0,4,1,0,0,40,39,0
22,4,399087,4,3,2,7,2,4,0,0,0,40,26,0
29,4,423158,15,10,4,13,1,4,0,0,0,40,39,0
62,4,159841,11,9,6,8,1,4,0,0,0,24,39,0
39,6,174308,11,9,2,4,0,4,1,0,0,40,39,0
43,4,50356,15,10,2,3,0,4,1,0,1485,50,39,0
35,4,186110,11,9,0,14,1,4,1,0,0,45,39,0
29,4,200381,1,7,4,4,1,4,0,0,0,40,39,0
76,6,174309,12,14,2,3,0,4,1,0,0,10,39,0
63,6,78383,11,9,2,5,0,4,1,0,0,45,39,0
23,0,211601,8,11,4,0,3,2,0,0,0,15,39,0
43,4,187728,15,10,2,10,5,4,0,0,1887,50,39,1
58,6,321171,11,9,2,6,0,4,1,0,0,40,39,0
66,4,127921,11,9,4,14,1,4,1,2050,0,55,39,0
41,4,206565,15,10,4,3,1,2,1,0,0,45,39,0
26,4,224563,9,13,4,1,1,4,1,0,0,40,39,0
47,4,178686,8,11,4,8,1,4,1,0,0,40,39,0
55,2,98545,0,6,2,1,0,4,1,0,0,40,39,0
53,4,242606,11,9,2,14,0,4,1,0,0,40,39,0
17,4,270942,4,3,4,8,2,4,1,0,0,48,26,0
30,4,94235,11,9,4,3,2,4,1,0,0,40,39,0
49,4,71195,12,14,4,10,1,4,1,0,0,60,39,0
19,4,104112,11,9,4,12,4,2,1,0,0,30,14,0
45,4,261192,11,9,2,8,0,2,1,0,0,40,39,0
26,4,94936,7,12,4,12,1,4,1,0,0,40,39,0
38,4,296478,8,11,2,3,0,4,1,7298,0,40,39,1
36,7,119272,11,9,2,11,0,4,1,7298,0,40,39,1
33,4,85043,11,9,4,5,1,4,1,0,0,20,39,0
22,7,293364,15,10,4,11,3,2,0,0,0,40,39,0
43,6,241895,9,13,4,12,1,4,1,0,0,42,39,0
67,0,36135,1,7,2,0,0,4,1,0,0,8,39,0
30,0,151989,8,11,0,0,4,4,0,0,0,40,39,0
56,4,101128,7,12,3,8,1,4,1,0,0,25,20,0
31,4,156464,9,13,4,10,3,4,1,0,0,25,39,0
33,4,117963,9,13,2,4,0,4,1,0,0,40,39,1
26,4,192262,11,9,2,8,0,4,1,0,0,40,39,0
33,4,111363,9,13,2,4,0,4,1,0,0,40,39,1
46,2,329752,1,7,2,14,0,4,1,0,0,30,39,0
59,0,372020,9,13,2,0,0,4,1,0,0,40,39,1
38,1,95432,11,9,2,1,0,4,1,0,0,40,39,1
65,4,161400,1,7,6,8,4,3,1,0,0,40,39,0
40,4,96129,8,11,2,13,0,4,1,0,0,40,39,1
42,4,111949,11,9,2,1,5,4,0,0,0,35,39,0
26,6,117125,6,5,2,3,0,4,1,0,0,40,32,0
36,4,348022,0,6,2,8,5,4,0,0,0,24,39,0
62,4,270092,12,14,2,10,0,4,1,0,0,40,39,1
43,4,180609,9,13,2,14,0,4,1,0,0,45,39,0
43,4,174575,9,13,0,4,1,4,1,0,1564,45,39,1
22,4,410439,11,9,3,12,1,4,1,0,0,55,39,0
28,4,92262,11,9,2,3,0,4,1,0,0,40,39,0
56,6,183081,15,10,2,12,0,4,1,0,0,45,39,0
22,4,362589,7,12,4,12,1,4,0,0,0,15,39,0
57,4,212448,9,13,0,4,1,4,0,0,0,45,39,1
39,4,481060,11,9,0,12,4,4,0,0,0,40,39,0
26,1,185885,15,10,4,1,4,4,0,0,0,15,39,0
17,4,89821,1,7,4,8,3,4,1,0,0,10,39,0
40,7,184018,8,11,2,7,0,4,1,0,0,38,39,1
45,4,256649,11,9,2,7,0,2,1,0,0,40,39,0
44,4,160323,11,9,4,3,1,2,1,0,0,40,39,0
20,2,350845,15,10,4,1,3,4,0,0,0,10,39,0
33,4,267404,11,9,2,3,5,4,0,0,0,40,39,0
23,4,35633,15,10,4,12,1,4,1,0,0,40,39,0
46,6,80914,12,14,0,4,1,4,1,0,0,30,39,0
38,4,172927,11,9,2,12,0,4,1,0,0,50,39,0
54,4,174319,11,9,0,14,1,4,1,0,0,40,39,0
46,4,214955,4,3,0,3,1,4,0,0,2339,45,39,0
25,4,344991,15,10,2,3,0,4,1,0,0,40,39,0
46,4,108699,15,10,0,12,1,4,0,0,0,40,39,0
36,2,117312,15,10,2,14,5,4,0,0,0,40,39,0
23,4,396099,11,9,4,8,1,4,0,0,0,25,39,0
29,4,134152,11,9,5,7,1,4,1,0,0,40,39,0
44,4,162028,15,10,2,1,5,4,0,0,2415,6,39,1
19,4,25429,15,10,4,1,3,4,0,0,0,16,39,0
19,4,232392,11,9,4,8,2,4,0,0,0,40,39,0
35,4,220098,11,9,2,8,5,4,0,0,0,40,39,1
27,4,301302,9,13,4,3,1,4,1,0,0,50,39,0
46,6,277946,7,12,5,3,1,4,1,0,0,40,39,0
34,7,98101,9,13,2,4,0,4,1,7688,0,45,0,1
34,4,196164,11,9,4,8,1,4,0,0,0,35,39,0
44,4,115562,15,10,2,13,0,4,1,0,0,40,39,0
45,4,96975,15,10,0,6,4,4,0,0,0,40,39,0
20,0,137300,11,9,4,0,2,4,0,0,0,35,39,0
25,4,86872,9,13,2,4,0,4,1,0,0,55,39,1
52,5,132178,9,13,2,4,0,4,1,0,0,50,39,1
20,4,416103,15,10,4,6,3,4,1,0,0,40,39,0
28,4,108574,15,10,4,8,1,4,0,0,0,40,39,0
50,7,288353,9,13,2,11,0,4,1,0,0,40,39,1
34,4,227689,8,11,0,13,1,4,0,0,0,64,39,0
28,4,166481,5,4,2,6,0,3,1,0,2179,40,33,0
41,4,445382,12,14,2,4,0,4,1,0,1977,65,39,1
28,4,110145,11,9,2,1,0,4,1,0,0,40,39,0
46,6,317253,11,9,2,3,0,4,1,0,0,25,39,0
28,0,123147,15,10,2,0,5,4,0,0,1887,40,39,1
32,4,364657,15,10,2,4,0,4,1,0,0,50,39,0
41,2,42346,15,10,0,8,1,2,0,0,0,24,39,0
24,4,241951,11,9,4,6,4,2,0,0,0,40,39,0
33,4,118500,15,10,0,4,4,4,0,0,0,40,39,0
46,4,188386,10,16,2,4,0,4,1,15024,0,60,39,1
31,7,1033222,15,10,2,7,0,4,1,0,0,40,39,0
35,4,92440,2,8,0,3,1,4,1,0,0,50,39,1
52,4,190762,3,2,2,7,0,4,1,0,0,40,26,0
30,4,426017,1,7,4,8,3,4,0,0,0,19,39,0
34,2,243867,1,7,5,7,1,2,1,0,0,40,39,0
34,7,240283,11,9,0,14,4,4,0,0,0,40,39,0
20,4,61777,15,10,2,12,0,4,1,0,0,30,39,0
17,4,175024,1,7,4,6,3,4,1,2176,0,18,39,0
32,7,92003,9,13,2,4,5,4,0,0,0,40,39,1
29,4,188401,11,9,0,5,1,4,1,0,0,40,39,0
33,4,228528,0,6,4,3,4,4,0,0,0,35,39,0
25,4,133373,11,9,2,14,0,4,1,0,0,60,39,0
36,1,255191,12,14,4,10,1,4,1,0,1408,40,39,0
23,4,204653,11,9,4,6,1,4,1,0,0,72,6,0
63,5,222289,11,9,2,4,0,4,1,0,0,40,39,1
47,2,287480,12,14,2,10,0,4,1,0,0,40,39,0
80,0,107762,11,9,6,0,1,4,1,0,0,24,39,0
17,0,202521,1,7,4,0,3,4,1,0,0,40,39,0
40,6,204116,9,13,3,10,1,4,0,2174,0,40,39,0
30,4,29662,7,12,2,8,5,4,0,0,0,25,39,1
27,4,116358,15,10,4,3,3,1,1,0,1980,40,30,0
33,4,208405,12,14,2,10,0,4,1,0,0,50,39,1
34,2,284843,11,9,4,5,1,2,1,594,0,60,39,0
34,2,117018,15,10,4,11,1,4,0,0,0,40,39,0
23,4,81281,15,10,2,1,0,4,1,0,0,40,39,0
42,2,340148,15,10,2,1,5,4,0,0,0,40,39,0
29,4,363425,9,13,4,10,1,4,1,0,0,40,39,0
45,4,45857,11,9,0,1,1,4,0,0,0,28,39,0
24,1,191073,11,9,4,2,3,4,1,0,0,40,39,0
44,4,116632,15,10,2,10,0,4,1,0,0,40,39,1
27,4,405855,6,5,4,3,2,4,1,0,0,40,26,0
